site_id,site_name,ACBR_ID,ACBR_Name
CHAP,Chappel Island,7,East Antarctica
CHAR,Charcot Island,4,Central south Antarctic Peninsula
CHPT,Charles Point,3,North-west Antarctic Peninsula
CHAT,Chatos Island,3,North-west Antarctic Peninsula
CHEA,Cheal Point,2,South Orkney Islands
CHIC,Chick Islands,7,East Antarctica
CHI1,Child Rocks Islands 1,16,Prince Charles Mountains
CHI2,Child Rocks Islands 2,16,Prince Charles Mountains
CHI3,Child Rocks Islands 3,16,Prince Charles Mountains
CCMP,Chinstrap Camp,3,North-west Antarctic Peninsula
CHIN,Chinstrap Cove,3,North-west Antarctic Peninsula
CHII,Chinstrap Islet,8,North Victoria Land
CHIS,Christine Island,3,North-west Antarctic Peninsula
CHRI,Christoffersen Island,2,South Orkney Islands
CIER,Cierva Point,3,North-west Antarctic Peninsula
CIPT,Cieslak Point,3,North-west Antarctic Peninsula
CPTW,Cieslak Point (west),3,North-west Antarctic Peninsula
CLAR,Clark Island,14,Ellsworth Land
CLPT,Claude Point,3,North-west Antarctic Peninsula
COBA,Cobalescou Island,3,North-west Antarctic Peninsula
COCK,Cockburn Island,3,North-west Antarctic Peninsula
COFF,Coffer Island,2,South Orkney Islands
COLB,Colbeck Archipelago Unnamed 1,16,Prince Charles Mountains
CONC,Conception Point,2,South Orkney Islands
CONE,Cone Island,3,North-west Antarctic Peninsula
CONF,Confusion Island,2,South Orkney Islands
CONI,Conical Island (Aviation Islands),13,Adelie Land
CONT,Continental Rock,5,Enderby Land
CORM,Cormorant Island,3,North-west Antarctic Peninsula
CORP,Cormorant Point,2,South Orkney Islands
CRWL,Cornwallis Island,3,North-west Antarctic Peninsula
CORI,Cornwall Island,3,North-west Antarctic Peninsula
CIOL,Coronation Island (other localities),2,South Orkney Islands
COUL,Coulman Island,8,North Victoria Land
CMID,Coulman Middle,8,North Victoria Land
CNOR,Coulman North,8,North Victoria Land
CSOU,Coulman South,8,North Victoria Land
CRAB,Crab Beach,3,North-west Antarctic Peninsula
CRBA,Cresta Run Bay,3,North-west Antarctic Peninsula
CROW,Crown Head,2,South Orkney Islands
CHEC,Crown Head (east coast),2,South Orkney Islands
CRUZ,Cruzen Island,12,Marie Byrd Land
CRYS,Crystal Hill,1,North-east Antarctic Peninsula
CURZ,Curzon Islands,13,Adelie Land
CUVE,Cuverville Island,3,North-west Antarctic Peninsula
DANC,Danco Island,3,North-west Antarctic Peninsula
DARB,Darbel Island,3,North-west Antarctic Peninsula
DARX,Darboux Island,3,North-west Antarctic Peninsula
DARW,Darwin Island,3,North-west Antarctic Peninsula
DAVE,Davey Point,3,North-west Antarctic Peninsula
DBAY,Davis Bay,13,Adelie Land
DAVI,Davis Island,7,East Antarctica
DAWS,Dawson,10,Transantarctic Mountains
DECI,Decimal Point,3,North-west Antarctic Peninsula
DEEI,Dee Island,3,North-west Antarctic Peninsula
DELA,Delaite Island,3,North-west Antarctic Peninsula
DEMS,Demas Rocks,3,North-west Antarctic Peninsula
DEMA,Demay Point,3,North-west Antarctic Peninsula
DESC,Descazes Island,3,North-west Antarctic Peninsula
DESO,Desolation Island,3,North-west Antarctic Peninsula
DETA,Detaille Island,3,North-west Antarctic Peninsula
DEVI,Devil Island,3,North-west Antarctic Peninsula
DEPT,Devils Point,3,North-west Antarctic Peninsula
DIBB,Dibble Glacier,13,Adelie Land
DOLL,Dolleman,4,Central south Antarctic Peninsula
DOME,Dome Island (Aviation Islands),13,Adelie Land
DAMO,Dorian Bay/Damoy Point,3,North-west Antarctic Peninsula
DOBE,Dorian Beacon,3,North-west Antarctic Peninsula
DOU1,Douglas Islands 1,16,Prince Charles Mountains
DOU2,Douglas Islands 2,16,Prince Charles Mountains
DOWN,Downshire Cliffs,8,North Victoria Land
DREA,Dream Island,3,North-west Antarctic Peninsula
DREW,Dream Island West (Casey Islands),3,North-west Antarctic Peninsula
DRES,Drescher,6,Dronning Maud Land
DUFF,Duff Point (Greenwich Island),3,North-west Antarctic Peninsula
DUKE,Duke of York Island,8,North Victoria Land
DUND,Dundee Island,3,North-west Antarctic Peninsula
DURO,Duroch Islands,3,North-west Antarctic Peninsula
DURV,d'Urville Monument,3,North-west Antarctic Peninsula
DUPT,Duthiers Point,3,North-west Antarctic Peninsula
DUTH,Duthoit Point,3,North-west Antarctic Peninsula
EADI,Eadie Island,3,North-west Antarctic Peninsula
EAGL,Eagle Island,3,North-west Antarctic Peninsula
EARL,Earle Island,3,North-west Antarctic Peninsula
EGAR,East 2-3 km of Cape Garry,3,North-west Antarctic Peninsula
ECAP,East Cape,2,South Orkney Islands
EMEI,East of Meier Point,2,South Orkney Islands
ECKE,Eckener Point,3,North-west Antarctic Peninsula
EDEN,Eden Rocks,3,North-west Antarctic Peninsula
EDMO,Edmonson Point,8,North Victoria Land
EDWI,Edwards Islands,14,Ellsworth Land
EDWA,Edwards Point,3,North-west Antarctic Peninsula
EIP0,Elephant Island (north coast point 0),3,North-west Antarctic Peninsula
EIP1,Elephant Island (north coast point 1),3,North-west Antarctic Peninsula
EIP2,Elephant Island (north coast point 2),3,North-west Antarctic Peninsula
EIP3,Elephant Island (north coast point 3),3,North-west Antarctic Peninsula
EIP4,Elephant Island (north coast point 4),3,North-west Antarctic Peninsula
EIP5,Elephant Island (north coast point 5),3,North-west Antarctic Peninsula
ELPT,Elephant Point,3,North-west Antarctic Peninsula
ELLI,Ellium Island,2,South Orkney Islands
EMER,Emerald Cove,3,North-west Antarctic Peninsula
EMPE,Emperor Island,3,North-west Antarctic Peninsula
ENTE,Enterprise Island,3,North-west Antarctic Peninsula
ENTR,Entrance Point,3,North-west Antarctic Peninsula
ENTW,Entrance Point West,3,North-west Antarctic Peninsula
ETNA,Etna Island,3,North-west Antarctic Peninsula
EXTE,Extension Reef,3,North-west Antarctic Peninsula
EYRI,Eyrie Bay,1,North-east Antarctic Peninsula
FALS,False Island Point (Vega Island),3,North-west Antarctic Peninsula
FARI,False Ridge,3,North-west Antarctic Peninsula
FRPT,False Round Point,3,North-west Antarctic Peninsula
FARE,Farewell Rock,3,North-west Antarctic Peninsula
FERG,Ferguslie Peninsula,2,South Orkney Islands
FERR,Ferrier Peninsula,2,South Orkney Islands
FILD,Fildes Peninsula (northwest side),3,North-west Antarctic Peninsula
FISH,Fish Islands,3,North-west Antarctic Peninsula
FITC,Fitchie Bay,2,South Orkney Islands
FIZK,Fizkin Island (islet northeast of Fizkin Island),3,North-west Antarctic Peninsula
FLIE,Fliess Bay,3,North-west Antarctic Peninsula
FLOR,Florence Rock,2,South Orkney Islands
FOLD,Fold Island,5,Enderby Land
FORB,Forbes Glacier,16,Prince Charles Mountains
FBER,Fortenberry,8,North Victoria Land
FORT,Fort Point (Greenwich Island),3,North-west Antarctic Peninsula
FOYN,Foyn Harbor (Enterprise Island),3,North-west Antarctic Peninsula
FRAM,Fram Islands,13,Adelie Land
FRNC,Francais Rocks,3,North-west Antarctic Peninsula
FRAN,Franklin Island,9,South Victoria Land
FRAE,Franklin Island East,9,South Victoria Land
FRAW,Franklin Island West,9,South Victoria Land
FRED,Fredriksen Island,2,South Orkney Islands
FURS,Fur Seal Point,3,North-west Antarctic Peninsula
FYRC,Fyr Channel,2,South Orkney Islands
GALE,Galindez Island East,3,North-west Antarctic Peninsula
GALS,Galindez Island South,3,North-west Antarctic Peninsula
GAMP,Gam Point Area,3,North-west Antarctic Peninsula
GAST,Gaston Islands,3,North-west Antarctic Peninsula
GEOR,Georges Point (Ronge Island),3,North-west Antarctic Peninsula
GRIB,Georges Rib,3,North-west Antarctic Peninsula
GERD,Gerd Island,2,South Orkney Islands
GERL,Gerlache Island,3,North-west Antarctic Peninsula
GNEY,Gibbney Island,16,Prince Charles Mountains
GIBA,Gibbon Bay,2,South Orkney Islands
GIBB,Gibbs Island,3,North-west Antarctic Peninsula
GIBS,Gibson Bay,1,North-east Antarctic Peninsula
GING,Ginger Island,3,North-west Antarctic Peninsula
GLAN,Glandaz Point,3,North-west Antarctic Peninsula
GOLF,Golfcourse Point,3,North-west Antarctic Peninsula
GOSL,Gosling Islands,2,South Orkney Islands
GOWC,Gosling Islands (west coast),2,South Orkney Islands
GOUL,Gould,10,Transantarctic Mountains
GOUR,Gourdin Island,3,North-west Antarctic Peninsula
GOPT,Gourlay Point,2,South Orkney Islands
GRAP,Graptolite Island,2,South Orkney Islands
GREI,Green Island,3,North-west Antarctic Peninsula
GREY,Grey Island,2,South Orkney Islands
GRIN,Grinder Rock,3,North-west Antarctic Peninsula
GUNN,Gunnerus,5,Enderby Land
HALF,Half Moon Island,3,North-west Antarctic Peninsula
HALY,Halley,10,Transantarctic Mountains
HPNE,Hall Peninsula (northeast),3,North-west Antarctic Peninsula
HPSW,Hall Peninsula (southwest),3,North-west Antarctic Peninsula
HANN,Hannah Point,3,North-west Antarctic Peninsula
HBAY,Harald Bay,13,Adelie Land
HARM,Harmony Point,3,North-west Antarctic Peninsula
HARE,Harmony Point (east),3,North-west Antarctic Peninsula
HASW,Haswell Island,7,East Antarctica
HENN,Hennequin Point,3,North-west Antarctic Peninsula
HENR,Henry Islands,7,East Antarctica
HERO,Heroina Island,3,North-west Antarctic Peninsula
HEYW,Heywood Island,3,North-west Antarctic Peninsula
HIDD,Hidden Bay,3,North-west Antarctic Peninsula
HOKU,Hokuro Cove,5,Enderby Land
HOLD,Holdfast Point (mainland and offshore rocks),3,North-west Antarctic Peninsula
MIDG,Hollin/Midgley,7,East Antarctica
HOLL,Holl/O'Connor,7,East Antarctica
HOPE,Hope Bay,1,North-east Antarctic Peninsula
HORI,Horseshoe Island,3,North-west Antarctic Peninsula
HOVG,Hovgaard Island,3,North-west Antarctic Peninsula
HUMB,Humble Island,3,North-west Antarctic Peninsula
HUMP,Humphries Heights,3,North-west Antarctic Peninsula
HUNT,Hunt Island,3,North-west Antarctic Peninsula
HURE,Hurd Peninsula (east),3,North-west Antarctic Peninsula
HURW,Hurd Peninsula (west),3,North-west Antarctic Peninsula
HUTB,Hut Bluff,3,North-west Antarctic Peninsula
HYDR,Hydrurga Rocks,3,North-west Antarctic Peninsula
IFOI,Ifo Island Area,13,Adelie Land
INAC,Inaccessible Island,2,South Orkney Islands
INEX,Inexpressible Island,8,North Victoria Land
INTE,Intercurrence Island,3,North-west Antarctic Peninsula
SGUE,Island south of Guesalaga Island,3,North-west Antarctic Peninsula
IOLB,Isles of Litwin Bay,3,North-west Antarctic Peninsula
LAVO,Islet 1 km west of Lavosier Island,3,North-west Antarctic Peninsula
LAKT,Islet next to Laktionov Island,3,North-west Antarctic Peninsula
LEPP,Islet south of Le Petit Prince,3,North-west Antarctic Peninsula
IVAN,Ivanhoff Head,7,East Antarctica
JACO,Jacobs Ladder,3,North-west Antarctic Peninsula
JACP,Jacques Peak,3,North-west Antarctic Peninsula
JADE,Jade Point,1,North-east Antarctic Peninsula
JPTI,Jameson Point Islands,3,North-west Antarctic Peninsula
JPTS,Jameson Point (south),3,North-west Antarctic Peninsula
JPTV,Jameson Point (vicinity),3,North-west Antarctic Peninsula
JANE,Janet Rock,13,Adelie Land
JAQU,Jaquinot Rocks,1,North-east Antarctic Peninsula
JENN,Jenny Island,3,North-west Antarctic Peninsula
JESS,Jessie Bay,2,South Orkney Islands
JING,Jingle Island,3,North-west Antarctic Peninsula
JOHN,Johnson's Dock,3,North-west Antarctic Peninsula
JONA,Jonassen Island,3,North-west Antarctic Peninsula
JORG,Jorge Island,3,North-west Antarctic Peninsula
JOUB,Joubin Islands,3,North-west Antarctic Peninsula
JOUG,Jougla Point,3,North-west Antarctic Peninsula
JUAN,Juan Carlos I Station,3,North-west Antarctic Peninsula
KAYR,Kay Rock,3,North-west Antarctic Peninsula
KELL,Kellick Island,3,North-west Antarctic Peninsula
KETL,Ketley Point,3,North-west Antarctic Peninsula
KIDS,Kidson Island,16,Prince Charles Mountains
KING,King Point,1,North-east Antarctic Peninsula
KIRB,Kirby Head,5,Enderby Land
KIRT,Kirton/Macklin,16,Prince Charles Mountains
KITC,Kitchen Point,3,North-west Antarctic Peninsula
KLOA,Kloa Point,5,Enderby Land
KNOB,"Knobble Head, Bransfield Island",3,North-west Antarctic Peninsula
KOPA,Kopaitic Island,3,North-west Antarctic Peninsula
KROG,Krogh Island (Islet North of NE coast of K.I.),3,North-west Antarctic Peninsula
KUNO,Kuno Point,3,North-west Antarctic Peninsula
KUZI,Kuzira Point,5,Enderby Land
LAAG,Laager Point,3,North-west Antarctic Peninsula
LAFA,Lafarge Rocks,3,North-west Antarctic Peninsula
LAGO,Lagotellerie Island,3,North-west Antarctic Peninsula
LAIN,Lainez Point,3,North-west Antarctic Peninsula
LAIR,Lair Point,3,North-west Antarctic Peninsula
LAJA,Lajarte Island,3,North-west Antarctic Peninsula
LARS,Larsen Island,2,South Orkney Islands
LAUF,Lauff Island,12,Marie Byrd Land
LAUT,Lautaro Neck,3,North-west Antarctic Peninsula
LAZA,Lazarev,6,Dronning Maud Land
LECO,Lecointe Island,3,North-west Antarctic Peninsula
LEDD,Ledda Bay,12,Marie Byrd Land
LEWI,Lewis Island,13,Adelie Land
LIND,Lindblad Cove,3,North-west Antarctic Peninsula
LSAY,Lindsay Islands,14,Ellsworth Land
LION,Lions Rump,3,North-west Antarctic Peninsula
LITC,Litchfield Island,3,North-west Antarctic Peninsula
LITW,Litwin Bay (southwest of Davey Point),3,North-west Antarctic Peninsula
LLAN,Llano Point,3,North-west Antarctic Peninsula
LOBO,Lobodon Island,3,North-west Antarctic Peninsula
LONG,Long Peninsula Island,7,East Antarctica
LOUB,Loubat Point,3,North-west Antarctic Peninsula
LOVI,Lovill Bluff,12,Marie Byrd Land
LOWT,Low Tongue,16,Prince Charles Mountains
LUIT,Luitpold,10,Transantarctic Mountains
MABE,Mabel Island,2,South Orkney Islands
MPTE,Macaroni Point (east),3,North-west Antarctic Peninsula
MPTW,Macaroni Point (west),3,North-west Antarctic Peninsula
MACK,MacKellar Islands,13,Adelie Land
MACO,Mackintosh Cove (east coast),2,South Orkney Islands
MADI,Madder Cliff Island,1,North-east Antarctic Peninsula
MADD,Madder Cliff (Joinville Island),1,North-east Antarctic Peninsula
MAHE,Maher Island,12,Marie Byrd Land
MALL,Mallory Point,7,East Antarctica
MAME,Mame-zima,5,Enderby Land
MAND,Mandible Cirque,8,North Victoria Land
MANS,Mansfield Point,2,South Orkney Islands
MARA,Marambio Station Vicinity,1,North-east Antarctic Peninsula
MARI,Mariholm,2,South Orkney Islands
MARR,Marr Bay (east coast),2,South Orkney Islands
MATH,Matthews Island,2,South Orkney Islands
MAWS,Mawson Coast (excl. Bechervaise Island),16,Prince Charles Mountains
MCAL,McCall Point,3,North-west Antarctic Peninsula
MCDO,McDonald Point,5,Enderby Land
MLGE,McLeod Glacier (east),2,South Orkney Islands
MLGW,McLeod Glacier (west),2,South Orkney Islands
MEDL,Medley Rocks,3,North-west Antarctic Peninsula
MEGA,Megaptera Island,3,North-west Antarctic Peninsula
MEHO,Meholmen Island,5,Enderby Land
MEIE,Meier Point,2,South Orkney Islands
MELC,Melchior Islands,3,North-west Antarctic Peninsula
MERR,Merritt Island,7,East Antarctica
MERT,Mertz Glacier,13,Adelie Land
METC,Metchnikoff Point,3,North-west Antarctic Peninsula
METH,Methuen Cove,2,South Orkney Islands
MICH,Michelsen Island,2,South Orkney Islands
MIDA,Midas Island,3,North-west Antarctic Peninsula
MIER,Miers Bluff,3,North-west Antarctic Peninsula
MBNE,Miers Bluff Cove (northeast),3,North-west Antarctic Peninsula
MBNW,Miers Bluff (northwest),3,North-west Antarctic Peninsula
MIKK,Mikkelsen Harbor (Trinity Island),3,North-west Antarctic Peninsula
MITC,Mitchell Cove (Robert Island),3,North-west Antarctic Peninsula
MIZU,Mizukuguri Cove,5,Enderby Land
MOEI,Moe Island,2,South Orkney Islands
MOLI,Molina Point (northeast tip of Lemaire Island),3,North-west Antarctic Peninsula
MONR,Monroe Island,2,South Orkney Islands
MOPT,Monroe Point,3,North-west Antarctic Peninsula
MONU,Monument Rocks,3,North-west Antarctic Peninsula
MOOT,Moot Point,3,North-west Antarctic Peninsula
MORE,Moreton Point,2,South Orkney Islands
MPNC,Moreton Point North Coast,2,South Orkney Islands
MBIS,Mount Biscoe,5,Enderby Land
MGLE,Mount Gleadell,5,Enderby Land
MRII,Mount Riiser-Larsen,5,Enderby Land
MOYE,Moyes,2,South Orkney Islands
MUCK,Muckle Bluff,3,North-west Antarctic Peninsula
MURR,Murray Islands,2,South Orkney Islands
MYAL,Myall/McMahon,5,Enderby Land
NANC,Nancy Rock,3,North-west Antarctic Peninsula
CRAG,Near Craggy Point (Sugarloaf Island),3,North-west Antarctic Peninsula
RNVG,Near Ranvik Glacier,7,East Antarctica
NEKO,Neko Harbor (Andvord Bay),3,North-west Antarctic Peninsula
NELL,Nella/Thalla Islands,8,North Victoria Land
NEIS,Nelly Island,7,East Antarctica
NEPT,Nelly Point,3,North-west Antarctic Peninsula
NEWE,Newell Point,3,North-west Antarctic Peninsula
NIGG,Nigg Rock,2,South Orkney Islands
NOBL,Noble Rocks,3,North-west Antarctic Peninsula
NOKK,Nokkelholmane Islands,5,Enderby Land
NCAP,North Cape (d'Urville Island),3,North-west Antarctic Peninsula
NESM,Northeast of Smiggers Island,3,North-west Antarctic Peninsula
NORF,Northern Foothills (Terra Nova Bay),8,North Victoria Land
NFOR,North Foreland,3,North-west Antarctic Peninsula
NCOI,North of Cornwall Island,3,North-west Antarctic Peninsula
NHAM,North of Hammer Point,3,North-west Antarctic Peninsula
HEYN,North of Heywood Island,3,North-west Antarctic Peninsula
NMED,North of Medley Rocks,3,North-west Antarctic Peninsula
NTAY,North of Taylor Point,3,North-west Antarctic Peninsula
NOPT,North Point,2,South Orkney Islands
NVEG,North Vega Island,3,North-west Antarctic Peninsula
NWPO,Northwest coast of Pomona Plateau,2,South Orkney Islands
NWSP,Northwest of Spert Island,3,North-west Antarctic Peninsula
NORW,Norway Bight,2,South Orkney Islands
NOVI,Noville Peninsula,14,Ellsworth Land
OBRI,O'Brien Island,3,North-west Antarctic Peninsula
ODBE,Odbert Island,7,East Antarctica
ORCW,Offshore Rocks off Cape Wallace,3,North-west Antarctic Peninsula
OLDH,Oldham Island,16,Prince Charles Mountains
OLIC,Oliphant Channel,2,South Orkney Islands
OLII,Oliphant Islands,2,South Orkney Islands
ONEI,O'Neill Point,3,North-west Antarctic Peninsula
ONGU,Ongulkaven,5,Enderby Land
ORNE,Orne Islands,3,North-west Antarctic Peninsula
ORRO,Ornen Rocks,3,North-west Antarctic Peninsula
OUTE,Outer Island,2,South Orkney Islands
OWEN,Owen Island,3,North-west Antarctic Peninsula
PAGE,Pageant Point,2,South Orkney Islands
PALA,Palaver Point,3,North-west Antarctic Peninsula
PAND,Pandemonium Point,2,South Orkney Islands
PANT,Pantomime Point,2,South Orkney Islands
PABE,Paradise Harbor Beacon (Paradise Bay),3,North-west Antarctic Peninsula
PATE,Patella Island,3,North-west Antarctic Peninsula
PAPT,Patelnia Point,3,North-west Antarctic Peninsula
PAUL,Paulet Island,3,North-west Antarctic Peninsula
PEIN,Peine Island (Comb Island),3,North-west Antarctic Peninsula
PENG,Penguin Island,3,North-west Antarctic Peninsula
PLDR,Penguin Ladder,3,North-west Antarctic Peninsula
PEPO,Penguin Point (Seymour Island),1,North-east Antarctic Peninsula
